timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
12.05,1786774900.5027,sample,"[1.63185, -1.41479, 1.98209, -2.26709, 4.65652, -0.0]","[-6.50147, -0.10668, 2.19747]",open,
12.15,1786774900.6261,sample,"[1.63186, -1.44791, 1.98211, -2.26709, 4.65652, -0.0]","[-6.50101, -0.11437, 2.22066]",open,
12.25,1786774900.748,sample,"[1.63187, -1.49803, 1.9821, -2.26709, 4.65652, 0.0]","[-6.50022, -0.12743, 2.25526]",open,
12.35,1786774900.8749,sample,"[1.63186, -1.52928, 1.98207, -2.26709, 4.65652, 0.0]","[-6.49966, -0.13644, 2.2765]",open,
12.45,1786774900.9982,sample,"[1.63186, -1.54077, 1.98206, -2.26709, 4.65652, 0.0]","[-6.49944, -0.13991, 2.28424]",open,
12.55,1786774901.1305,sample,"[1.63622, -1.545, 1.98206, -2.26709, 4.65652, 0.0]","[-6.50224, -0.14209, 2.28707]",open,
12.65,1786774901.2563,sample,"[1.67124, -1.54655, 1.98207, -2.26709, 4.65651, 0.0]","[-6.5251, -0.15006, 2.28811]",open,
12.75,1786774901.3827,sample,"[1.72205, -1.54712, 1.98207, -2.26709, 4.65651, 0.0]","[-6.55779, -0.16251, 2.28849]",open,
12.85,1786774901.5104,sample,"[1.77431, -1.54734, 1.98207, -2.26709, 4.6565, -0.0]","[-6.59072, -0.17691, 2.28863]",open,
12.95,1786774901.6348,sample,"[1.79805, -1.54741, 1.98207, -2.26709, 4.6565, -0.0]","[-6.60543, -0.18401, 2.28868]",open,
13.05,1786774901.7647,sample,"[1.80679, -1.54745, 1.98207, -2.26709, 4.6565, -0.0]","[-6.6108, -0.18671, 2.28871]",open,
13.15,1786774901.8925,sample,"[1.81, -1.54745, 1.98207, -2.26709, 4.6565, 0.0]","[-6.61277, -0.18771, 2.28871]",open,
13.25,1786774902.0251,sample,"[1.8029, -1.54745, 1.98207, -2.26709, 4.65651, -0.0]","[-6.60841, -0.18551, 2.28871]",open,
13.35,1786774902.1539,sample,"[1.76449, -1.54745, 1.98207, -2.26709, 4.65652, -0.0]","[-6.58458, -0.17412, 2.28871]",open,
13.45,1786774902.2868,sample,"[1.71243, -1.54745, 1.98207, -2.26709, 4.65653, 0.0]","[-6.55163, -0.16016, 2.28871]",open,
13.55,1786774902.4176,sample,"[1.65535, -1.54745, 1.98207, -2.26709, 4.65653, 0.0]","[-6.51472, -0.14684, 2.28871]",open,
13.65,1786774902.5499,sample,"[1.60078, -1.54745, 1.98207, -2.26709, 4.65654, 0.0]","[-6.47878, -0.13611, 2.28871]",open,
13.75,1786774902.6782,sample,"[1.57619, -1.54745, 1.98207, -2.26709, 4.65654, 0.0]","[-6.4624, -0.13191, 2.28871]",open,
13.85,1786774902.802,sample,"[1.56714, -1.54745, 1.98207, -2.26709, 4.65654, 0.0]","[-6.45635, -0.13047, 2.28871]",open,
13.95,1786774902.9318,sample,"[1.56382, -1.52866, 1.98207, -2.26709, 4.65654, 0.0]","[-6.45408, -0.12421, 2.27608]",open,
14.05,1786774903.0571,sample,"[1.56258, -1.49696, 1.98209, -2.26709, 4.65654, 0.0]","[-6.45317, -0.11488, 2.25453]",open,
